"NTSB_RPRT_NBR","ACFT_REGIST_NBR","ACFT_SERIAL_NBR","EV_TYPE_DESC","EVENT_LCL_DATE","LOC_STATE_CODE_STD","ARPT_NAME_STD","FLTCNDCT_DESC","OPRTR_SCHED_DESC","OPRTR_NSDC_NAME_STD","ACFT_NSDC_MAKE_STD","ACFT_NSDC_MODEL_STD","ACFT_NSDC_SERIES_STD","REPORT_STATUS","INJURY_DESC","FLIGHT_PHASE_DESC"
"FTW89DPJ02","N99636","2259","ACCIDENT","21-DEC-88","OK","","PART 91: GENERAL AVIATION","","","ERCOUPE","415","C","FINAL","FATAL","MANEUVERING"
"FTW89DPJ03","N4369S","301-0049","ACCIDENT","07-APR-89","OK","","PART 137: AGRICULTURAL","UNKNOWN","HOMESTEAD FARMS FLYING SERVICE INC","AIR TRACTOR","AT301","NO SERIES EXISTS","FINAL","NONE","LANDING"
"FTW89DPJ04","N28276","3074","ACCIDENT","14-MAY-89","OK","SUNDANCE AIRPARK","PART 91: GENERAL AVIATION","","","ROTORWAY","EXEC","UNDESIGNATED SERIES","FINAL","MINOR","MANEUVERING"
"FTW89DPJ05","N47SV","423","ACCIDENT","02-JUN-89","OK","FRANK PHILLIPS","PART 91: GENERAL AVIATION","","","STAMPE","SV4","C","FINAL","NONE","LANDING"
"FTW89DPJ06","N6873B","18-5053","ACCIDENT","14-JUN-89","OK","","PART 137: AGRICULTURAL","UNKNOWN","SEXTON FLYING SERVICE","PIPER","PA18","A","FINAL","NONE","MANEUVERING"
"FTW89DPJ07","N34CJ","CG-211","ACCIDENT","24-JUN-89","OK","HASKELL","PART 91: GENERAL AVIATION","","","BEECH","45","UNDESIGNATED SERIES","FINAL","FATAL","DESCENT"
"FTW89DPJ08","N788Y","180","ACCIDENT","07-JUL-89","OK","GUYMON MUNI","PART 137: AGRICULTURAL","UNKNOWN","GRAY, RONALD W","GRUMMAN","G164","UNDESIGNATED SERIES","FINAL","SERIOUS","MANEUVERING"
"FTW89DQA01","N375MC","1309","ACCIDENT","26-FEB-89","TX","WEST TEXAS","PART 91: GENERAL AVIATION","","","CALLAIR","A9","B","FINAL","MINOR","APPROACH"
"FTW89DQA02","N91363","36","ACCIDENT","26-FEB-89","TX","WEST TEXAS","PART 91: GENERAL AVIATION","","","IAR BRASOV","IS28","B2","FINAL","SERIOUS","APPROACH"
"FTW89DQA03","N224BG","6365","ACCIDENT","26-FEB-89","TX","WEST TEXAS","PART 91: GENERAL AVIATION","","","GROB","G109","UNDESIGNATED SERIES","FINAL","NONE","LANDING"
"FTW89DQA04","N731FR","18802866T","ACCIDENT","04-MAY-89","TX","","PART 137: AGRICULTURAL","UNKNOWN","DELL VALLEY SPRAYING INC","CESSNA","A188","B","FINAL","FATAL","MANEUVERING - AERIAL APPLICATION"
"FTW89DQG01","N75217","25-3561","ACCIDENT","04-NOV-88","TX","","PART 137: AGRICULTURAL","UNKNOWN","HOGG FLYING SERVICE","PIPER","PA25","235","FINAL","FATAL","MANEUVERING"
"FTW89DQG02","N8547L","25-4567","ACCIDENT","14-NOV-88","TX","","PART 137: AGRICULTURAL","UNKNOWN","TAYLOR, STANLEY W","PIPER","PA25","UNDESIGNATED SERIES","FINAL","FATAL","MANEUVERING"
"FTW89DQG03","N1271W","626","ACCIDENT","20-MAY-89","TX","","PART 137: AGRICULTURAL","UNKNOWN","S AND H AERIAL SPRAYING","WEATHERLY","201","B","FINAL","MINOR","DESCENT"
"FTW89DQG04","N4956Q","188026907","ACCIDENT","26-JUN-89","TX","OLDHAM COUNTY","PART 137: AGRICULTURAL","UNKNOWN","CAPROCK FLYING SERVICE","CESSNA","A188","B","FINAL","NONE","DESCENT"
"FTW89DQG05","N7903","809","ACCIDENT","11-AUG-89","TX","","PART 137: AGRICULTURAL","UNKNOWN","HI PLAINS AG SERVICE INC","GRUMMAN","G164","A","FINAL","NONE","LANDING"
"FTW89DQG06","N9957J","T188C03886T","ACCIDENT","05-SEP-89","TX","LEVELLAND","PART 137: AGRICULTURAL","UNKNOWN","R AND W SPRAYING","CESSNA","T188","C","FINAL","MINOR","LANDING"
"FTW89DQG07","N3382J","T18803637T","ACCIDENT","27-SEP-89","TX","SPUR MUNI","PART 137: AGRICULTURAL","UNKNOWN","KIMMEL AVIATION INC","CESSNA","T188","C","FINAL","NONE","TAKEOFF"
"FTW89DRA01","N58261","1280417D","ACCIDENT","12-DEC-88","TX","","PART 133: ROTORCRAFT EXT. LOAD","UNKNOWN","PACIFIC AIRLIFT INC","HUGHES","369","D","FINAL","MINOR","LANDING"
"FTW89DRA02","N9961","1969 WA","ACCIDENT","22-JAN-89","TX","REBEL FIELD","PART 91: GENERAL AVIATION","","","","","","FINAL","SERIOUS","APPROACH"
"FTW89DRA03","N9763N","9587-2-8014M","ACCIDENT","25-MAR-89","TX","LA PORTE MUNI","PART 91: GENERAL AVIATION","","","BENSEN","B8M","UNDESIGNATED SERIES","FINAL","NONE","LANDING"
"FTW89DRA04","N7320C","502-0015","ACCIDENT","19-APR-89","TX","","PART 137: AGRICULTURAL","UNKNOWN","KUBECKA FLYING SERVICE","AIR TRACTOR","AT502","UNDESIGNATED SERIES","FINAL","NONE","LANDING"
"FTW89DRA05","N1722B","75-5927","ACCIDENT","19-MAY-89","TX","","PART 137: AGRICULTURAL","UNKNOWN","ROSE AND SONS FLYING SERVICE","STEARMAN","A75","UNDESIGNATED SERIES","FINAL","MINOR","LANDING"
"FTW89DRA06","N6822Q","324B","ACCIDENT","01-JUN-89","TX","","PART 137: AGRICULTURAL","UNKNOWN","LISSIE FLYING SERVICE","GRUMMAN","G164","B","FINAL","NONE","LANDING"
"FTW89DRA07","N7037K","6654","ACCIDENT","13-JUL-89","TX","","PART 91: GENERAL AVIATION","","","","","","FINAL","FATAL","MANEUVERING"
"FTW89DRA08","N6633Q","161B","ACCIDENT","18-JUL-89","TX","CHAMBERS COUNTY","PART 91: GENERAL AVIATION","","BROWN, WILLIAM J","GRUMMAN","G164","B","FINAL","MINOR","TAKEOFF"
"FTW89DRD01","N4474U","4926","ACCIDENT","05-NOV-88","LA","MONROE REGIONAL","PART 91: GENERAL AVIATION","","","RAND ROBINSON","KR2","UNDESIGNATED SERIES","FINAL","MINOR","MANEUVERING"
"FTW89DRD02","N8782L","25-5470","ACCIDENT","16-JAN-89","LA","GEORGE R CARR MEMORIAL AIR FLD","PART 91: GENERAL AVIATION","","HAILEY AVIATION SERVICES","PIPER","PA25","235","FINAL","MINOR","LANDING"
"FTW89DRD03","N48467","1648","ACCIDENT","23-MAY-89","LA","","PART 137: AGRICULTURAL","UNKNOWN","AEROHEAD CROP DUSTERS INC","GRUMMAN","G164","A","FINAL","FATAL","MANEUVERING"
